NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
SCHWARZSCHILD;Cratère;;Karl Schwarzschild;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astrophysicien;Allemagne;allemand;20;20 ème siècle;Francfort sur le Main;1873;Potsdam;1916;Pionnier de la photométrie stellaire à l'aide de la photographie. Première solution des équatins de la théorie de la relativité générale en 1916. Inventeur du concept de trou noir.;121,2;121,2 ° Est;70,1;70,1 ° Nord;Nord-Est;;II;Nansen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;212;212;125;125;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SCOBEE;Cratère;;Francis Richard Scobee;UAI 1964 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronaut;Etats-Unis;américain;20;20 ème siècle;??;1939;??;1986;Membre de la navette spatiale Challenger accidentée en 1986.;-148,9;148,9 ° Ouest;-31,1;31,1 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;40;40;24;24;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SEARES;Cratère;;Frederick H. Seares;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1873;??;1964;??;145,8;145,8 ° Est;73,5;73,5 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;110;110;65;65;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SECHENOV;Cratère;;Ivan M. Sechenov;UAI 1973 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physiologiste;Russie;russe.;19;19 ème siècle:;??;1829;??;1905;??;-142,6;142,6 ° Ouest;-7,1;7,1 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-028-M V-030-H3;62;62;36;36;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SEGERS;Cratère;;Carlos Segers;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Argentine;argentin;20;20 ème siècle;??;1900;??;1967;??;127,7;127,7 ° Est;47,1;47,1 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-158-M;17;17;10;10;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SEIDEL;Cratère;;Ludwig Philipp Von Seidel;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Allemagne;allemand;19;19 ème siècle:;Zweilbrücken;1821;Munich;1896;Application des probabilités aux travaux de photométrie de Steinheil. ;152,2;152,2 ° Est;-32,8;32,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;62;62;36;36;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SEYFERT;Cratère;;Carl Keenan Seyfert;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astrophysicien;Etats-Unis;américain;20;20 ème siècle;??;1911;??;1960;Découvreur en 1943 d'une classe de galaxies à noyau actif.;114,6;114,6 ° Est;29,1;29,1 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-181-M;110;110;65;65;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHAHINAZ;Cratère;;Shahinaz;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Prénom féminin;Turquie;turque;;;;;;;??;122,4;122,4 ° Est;7,5;7,5 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;15;15;9;9;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHARONOV;Cratère;;Vsevolod V. Sharonov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;URSS;soviétique;20;20 ème siècle;??;1901;??;1964;??;173,3;173,3 ° Est;12,4;12,4 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-034-H1 II-034-M;74;74;44;44;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHATALOV;Cratère;;Vladimir A. Shatalov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Cosmonaute;URSS;soviétique;20;20 ème siècle;??;1927;;Vivant;??;141,5;141,5 ° Est;24,3;24,3 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;21;21;12;12;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHAYN;Cratère;;Grigoriy A. Shayn;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astrophysicien;URSS;soviétique;20;20 ème siècle;??;1892;??;??;??;118;118 ° Est;-11,1;11,1 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;18;18;11;11;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHERRINGTON;Cratère;;Sir Charles Scott Sherrington;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physiologiste;Royaume Uni;britannique;20;20 ème siècle;Londres;1857;Eastbourne;1952;Fondateur de la neurologie avec Jackson. Prix Nobel en 1932.;172,5;172,5 ° Est;32,6;32,6 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-079-M;93;93;55;55;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHI SHEN;Cratère;;Shi(H) Shen;UAI 1976 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Chine;chinois;-1;1 er siècle av JC;??;??;??;-300;??;104,1;104,1 ° Est;76;76 ° Nord;Nord-Est;;II;Nansen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;43;43;25;25;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHIRAKATSI;Cratère;;Anania Shirakatsi;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Géographe;Arménie;arménien;7;7 ème siècle:;??;620;??;685;??;128,6;128,6 ° Est;-12,1;12,1 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-136-H3 I-136-M I-117-M;51;51;30;30;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHTERNBERG;Cratère;;Pavel K. Shternberg (Sternberg);UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Russie;russe.;19;19 ème siècle:;??;1865;??;1920;??;-116,3;116,3 ° Ouest;19,5;19,5 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;70;70;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SHULEJKIN;Cratère;;M.V. Shulejkin;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1884;??;1939;Spécialiste des transmissions radio.;-92,5;92,5 ° Ouest;-27,1;27,1 ° Sud;Sud-Ouest;;VII;Mare Orientale;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-194-H3 IV-195-H1;15;15;9;9;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
SIEDENTOPF;Cratère;;Henry Friedrich Wilhelm Siedentopf;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;20;20 ème siècle;Brême;1872;Iéna;1940;Inventeur en 1902 avec Zsigmondy de l'ultramicroscope.;135,5;135,5 ° Est;22;22 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;61;61;36;36;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SIERPINSKI;Cratère;;Waclaw;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Pologne;polonais;20;20 ème siècle;??;1882;??;1969;??;154,5;154,5 ° Est;-27,2;27,2 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;69;69;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SIKORSKY;Cratère;;Igor Ivanovich Sikorsky;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;Russie;russe;20;20 ème siècle;Kiev;1889;Easton;1972;Constructeur d'hélicoptères et d'avions.;103,2;103,2 ° Est;-66,1;66,1 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-005-H2 IV-008-M;98;98;58;58;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SISAKYAN;Cratère;;Norajr M. Sisakyan;UAI 1961 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Médecin;URSS;soviétique;20;20 ème siècle;??;1907;??;1966;??;109;109 ° Est;41,2;41,2 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-181-H2;34;34;20;20;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SKLODOWSKA;Cratère;;Marie Sklodowska Curie;UAI 1973 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;France;français;20;20 ème siècle;Varsovie;1867;Sancellemoz;1934;Epouse de Pierre Curie. Production du radium métallique. Prix Nobel de physique en 1903 et de  chimie en 1911.;95,5;95,5 ° Est;-18,2;18,2 ° Sud;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-196-M;127;127;75;75;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
SLIPHER;Cratère;;Earl C. Slipher;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;Mulberry;1883;Flagstaff;1964;Pionnier de la photographie planétaire. Auteur de plus de 200 000 clichés de la planète Mars.;160,1;160,1 ° Est;49,5;49,5 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-085-M V-079-M;69;69;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SMITH;Cratère;;Michael John Smith;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronaut;Etats-Unis;américain;20;20 ème siècle;??;1945;??;1986;Membre de la navette spatiale Challenger accidentée en 1986.;-150,2;150,2 ° Ouest;-31,6;31,6 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;34;34;20;20;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SMOLUCHOWSKI;Cratère;;Marian Smoluchowski;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Pologne;polonais;19;19 ème siècle:;??;1872;??;1917;??;-96,8;96,8 ° Ouest;60,3;60,3 ° Nord;Nord-Ouest;;I;Brianchon;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;83;83;49;49;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
SNIADECKI;Cratère;;Jan Sniadecki;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Pologne;polonais;19;19 ème siècle:;??;1756;??;1830;??;-168,9;168,9 ° Ouest;-22,5;22,5 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;43;43;25;25;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SODDY;Cratère;;Sir Frederick Soddy;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Royaume Uni;britannique;20;20 ème siècle;Eastbourne;1877;Brighton;1956;Professeur à l'Université d'Oxford. Découvreur de l'isotopie des éléménts en 1903. Prix Nobel de chimie en 1921.;121,8;121,8 ° Est;0,4;0,4 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;42;42;25;25;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SOMMERFELD;Cratère;;Arnold J. W. Sommerfeld;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;20;20 ème siècle;Königsberg;1868;Munich;1951;Professeur à l'Université de Munich en 1906. Auteur des théories du gyroscope, de la diffraction des ondes électromagnétiques et de la présence d'électrons libres dans les métaux. Explication de la structure des raies spectrales en 1915.. ;-162,4;162,4 ° Ouest;65,2;65,2 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-029-M V-029-H3 V-025-M;169;169;99;99;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
SPENCER JONES;Cratère;;Sir Harold;UAI 1964 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Royaume Uni;britannique;20;20 ème siècle;Londres;1890;Londres;1960;Directeur de l'Observatoire de Greenwich en 1933. Président de la Société Royale Astronomque en 1937 et de l'Union Astronomique Internationale en 1945. Travaux sur les mouvements de la Terre. ;165,6;165,6 ° Est;13,3;13,3 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;85;85;50;50;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ST JOHN;Cratère;;Charles E. Saint John;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1857;??;1935;Spécialisé en physique solaire.;150,2;150,2 ° Est;10,2;10,2 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;68;68;40;40;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STARK;Cratère;;Johannes Stark;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;20;20 ème siècle;Schickenhof;1874;Traunstein;1957;Découverte de la séparation des raies spectrales dans un  champ magnétique. Prix Nobel en 1919.;146,3;146,3 ° Est;57,3;57,3 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;69;69;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STEARNS;Cratère;;Carl Leo Stearns;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1892;??;1972;??;134,6;134,6 ° Est;-25,5;25,5 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;49;49;29;29;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STEBBINS;Cratère;;Joel Stebbins;UAI 1976 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1878;??;1966;??;162,6;162,6 ° Est;34,8;34,8 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-085-H1 V-085-M;36;36;21;21;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STEFAN;Cratère;;Josef Stefan;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Autriche;autrichien;19;19 ème siècle:;Sankt Peter;1835;Vienne;1893;Directeur de l'Institut de physique de Vienne en 1866. Auteur de la théorie de diffusion des gaz. Auteur de la loi sur le rayonnement du corps noir en 1879.;-141,8;141,8 ° Ouest;64,8;64,8 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-025-M V-029-M V-029-H2;131;131;77;77;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STEIN;Cratère;;J. W. Stein;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Pays-Bas;hollandais;20;20 ème siècle;??;1871;??;1951;??;-108,3;108,3 ° Ouest;46;46 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-015-H3 V-006-H1 V-008-M;125;125;74;74;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STEKLOV;Cratère;;Vladimir A. Steklov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Russie;russe;20;20 ème siècle;??;1864;??;1926;??;179;179 ° Est;7,2;7,2 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;33;33;19;19;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STENO;Cratère;;Niels Steesen (dit Nicolaus Steno);UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Géologue;Danemark;danois;17;17 ème siècle:;Copenhague;1638;Schwerin;1686;Fondateur de la méthode stratigraphique et de la tectonique. ;-104,9;104,9 ° Ouest;-36,7;36,7 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;36;36;21;21;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STERNFELD;Cratère;;A. A. Sternfeld;UAI 1979 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;URSS;soviétique;20;20 ème siècle;??;1905;??;1980;Spécialiste de l'espace.;161,8;161,8 ° Est;32,8;32,8 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-085-M V-085-H1;31;31;18;18;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STETSON;Cratère;;Harlan T. Stetson;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1885;??;1964;Géophysicien;-141,2;141,2 ° Ouest;-19,6;19,6 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;100;100;59;59;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STOLETOV;Cratère;;Aleksandr G. Stoletov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Russie;russe;19;19 ème siècle:;??;1839;??;1896;??;-118,3;118,3 ° Ouest;-39,6;39,6 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;64;64;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STONEY;Cratère;;George Johnstone Stoney;UAI 1979 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Irlande;Irlandais;19;19 ème siècle:;Oakley Park;1826;Londres;1911;Evaluation du nombre d'Avogadro en 1867. Auteur de l'hypothèse de l'existence de l'électron en 1891.;-155,2;155,2 ° Ouest;45,1;45,1 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-039-M;42;42;25;25;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STORMER;Cratère;;F. Carl M. Stormer;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Norvège;norvégien;20;20 ème siècle;Skien;1874;Oslo;1957;Spécialiste de la haute atmosphère. Auteur de la théorie mathématique des aurores polaires.;-156,1;156,1 ° Ouest;-55,3;55,3 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;45;45;26;26;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STRATTON;Cratère;;Frederick J. M. Stratton;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astrophysicien;Royaume Uni;britannique;20;20 ème siècle;??;1881;??;1960;??;164,6;164,6 ° Est;-5,8;5,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-034-M;70;70;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
STROMGREN;Cratère;;Svante Elis Strömgren;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Suède;suédois;20;20 ème siècle;Hälsingborg;1870;Copenhague;1947;Recherches sur les comètes et le problème des trois corps.;-132,4;132,4 ° Ouest;-21,7;21,7 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;61;61;36;36;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
